ncit_code,preferred_term,parent_code,parent_name,depth,synonyms,definition
C141686,10-Meter Walk/Run Test Functional Test,C222260,Clinical or Research Functional Assessment Tool,2,10 Meter Walk/Run|10-METER WALK/RUN|TENMW1|Ten Meter Walk/Run,"A timed function test, one of a series of exercise testing modalities that were initially introduced in the 1960s, that assesses functional mobility by measuring walking or running speed in meters per second over ten meters."
C153596,10-Point Importance Scale,C217121,Clinical or Research Assessment Scale,2,Importance Scale,A scale for the subjective scoring of importance that ranges from 0: Not at all important to 10: Extremely important.
C221057,10-Point Importance Scale Score,C217122,Clinical or Research Assessment Score,2,,A score derived from an assessment using a ten-point importance scale.
C98262,10th Growth Percentile,C98260,Growth Chart Percentile,2,,An indication that an individual ranks the same or more than 10 percent of the reference population for a given attribute.
C123663,12-Item Multiple Sclerosis Walking Scale Questionnaire,C91105,Clinical or Research Assessment Questionnaire,2,MSWS-12|MSWS-12|MSWS01,"A standardized rating scale developed by Hobart et al in 2003, which is used to measure the impact of multiple sclerosis (MS) on an individual's walking ability. The questionnaire contains 12 items on a scale from 1 (not at all) to 5 (extremely)."
C98263,25th Growth Percentile,C98260,Growth Chart Percentile,2,,An indication that an individual ranks the same or more than 25 percent of the reference population for a given attribute.
C153490,5-Point Confidence Scale,C217121,Clinical or Research Assessment Scale,2,Confidence Scale,A subjective scale for the scoring of confidence that ranges from 1: Not at all confident 5: Very confident.
C221055,5-Point Confidence Scale Score,C217122,Clinical or Research Assessment Score,2,,A score derived from an assessment using a five-point confidence scale.
C98264,50th Growth Percentile,C98260,Growth Chart Percentile,2,,An indication that an individual ranks in the middle of the reference population for a given attribute.
C98261,5th Growth Percentile,C98260,Growth Chart Percentile,2,,An indication that an individual ranks the same or more than 5 percent of the reference population for a given attribute.
C225098,6 Minute Walk Functional Test 2002 Version,C222260,Clinical or Research Functional Assessment Tool,2,SIX MINUTE WALK 2002|SIXMW2,"A standardized one-item measure published by the American Thoracic Society (ATS) in 2002 that evaluates the total distance an individual can walk on a hard, flat surface over six minutes."
C115789,6 Minute Walk Functional Test 2008 Version,C222260,Clinical or Research Functional Assessment Tool,2,6 Minute Walk Functional Test|6MWT|SIX MINUTE WALK|SIXMW1|Six Minute Walk 2008,"A standardized rating scale developed by Bruno Blake in 1963, which is a performance-based evaluation of functional exercise capacity in subjects with chronic respiratory disease and heart failure, as well as other populations such as healthy older adults and people suffering from fibromyalgia and scleroderma. This functional test contains 6 items and measures the distance an individual is able to walk over a total of six minutes on a hard, flat surface."
