ncit_code,preferred_term,codelist_testcd,question_count,mapped_structurally,synonyms,definition,display_name,semantic_type,UMLS_CUI,NCIm_CUI,codelist_membership
C154458,CDRS-R Clinical Classification Question,CDRS1TC,41,True,,A question associated with the CDRS-R clinical classification.,,Intellectual Product,,CL555387,
C132527,CES Questionnaire Question,CES01TC,7,True,,A question associated with the CES questionnaire.,,Intellectual Product,,CL519748,
C135705,CGI Generic Modification Version Questionnaire Question,CGI02TC,3,True,,A question associated with the CGI Generic Modification Version questionnaire.,,Intellectual Product,,CL523024,
C135704,CGI Original Version Questionnaire Question,,3,False,,A question associated with the CGI Original Version questionnaire.,,Intellectual Product,,CL523023,
C100111,CGI Questionnaire Question,,3,False,,A question associated with the CGI questionnaire.,,Intellectual Product,C3639101,,
C117992,CHART-SF Interview Version Questionnaire Question,CHSF1TC,28,True,,A question associated with the CHART-SF questionnaire.,,Intellectual Product,C3899786,,
C119085,CHART-SF Paper Version Questionnaire Question,CHSF2TC,28,True,,A question associated with the CHART-SF Paper Version questionnaire.,,Intellectual Product,C3899765,,
C100112,COMM Questionnaire Question,COMM1TC,18,True,,A question associated with the COMM questionnaire.,,Intellectual Product,C3639102,,
C156674,COVI Clinical Classification Question,COVI01TC,4,True,,A question associated with the COVI clinical classification.,,Intellectual Product,,CL935737,
C150793,COWAT Functional Test Question,COWAT1TC,4,True,,A question associated with the COWAT functional test.,,Intellectual Product,,CL552652,
C101873,COWS Questionnaire Question,COWS1TC,13,True,,A question associated with the COWS questionnaire.,,Intellectual Product,C3640279,,
C121000,CRQ-SAS First Administration Version Questionnaire Question,CRQ01TC,20,True,,A question associated with the CRQ-SAS First Administration Version questionnaire.,,Intellectual Product,C4055311,,
C121001,CRQ-SAS Follow-Up Administration Version Questionnaire Question,CRQ02TC,20,True,,A question associated with the SAS Follow-Up Administration Version questionnaire.,,Intellectual Product,C4055290,,
C124697,CRS-R Clinical Classification Question,CRSR01TC,11,True,,A question associated with the CRS-R clinical classification.,,Intellectual Product,C4086111,,
C199507,Canadian Cardiovascular Society Grading of Angina Pectoris Clinical Classification Question,CCSGA1TC,1,True,,A question associated with the Canadian Cardiovascular Society Grading of Angina Pectoris clinical classification.,,Intellectual Product,,CL1906870,
C120996,Child-Pugh Clinical Classification Question,CPS01TC,8,True,,A question associated with the Child-Pugh clinical classification.,,Intellectual Product,C4055252,,
C199509,Cigarette Evaluation Questionnaire Extended-Screening Clinical Classification Question,,11,False,,A question associated with the Cigarette Evaluation Questionnaire Extended-Screening clinical classification.,,Intellectual Product,,CL1906864,
C187459,Clinician-Administered PTSD Scale (Current) DSM-5 With DSM IV Scoring 2016 Version Clinical Classification Question,CAP01TC,103,True,,A question associated with the Clinician-Administered PTSD Scale (Current) DSM-5 With DSM IV Scoring 2016 Version clinical classification.,,Intellectual Product,,CL1792136,
C199508,Comfort Behavior Scale Clinical Classification Question,CBS01TC,12,True,,A question associated with the Comfort Behavior Scale clinical classification.,,Intellectual Product,,CL1906865,
C187461,Craig Handicap Assessment and Reporting Technique-Short Form Questionnaire Question,,28,False,,A question associated with the Craig Handicap Assessment and Reporting Technique-Short Form questionnaire.,,Intellectual Product,,CL1792526,
C105142,DAD Questionnaire Question,DAD01TC,49,True,,A question associated with the DAD questionnaire.,,Intellectual Product,C3641938,,
C183553,DIBSS-C Version 1.0 Questionnaire Question,DIBC01TC,10,True,,A question associated with the DIBSS-C Version 1.0 questionnaire.,,Intellectual Product,,CL1771913,
C119086,DLQI Questionnaire Question,DLQI1TC,18,True,,A question associated with the DLQI questionnaire.,,Intellectual Product,C3899466,,
C141684,DRRI-2 Questionnaire Question,DRRI1TC,210,True,,A question associated with the DRRI-2 questionnaire.,,Intellectual Product,,CL539774,
C115416,DRS Questionnaire Question,DRS01TC,9,True,,A question associated with the DRS questionnaire.,,Intellectual Product,C3899456,,
C112457,DS Clinical Classification Question,DS01TC,1,True,,A question associated with the DS questionnaire.,,Intellectual Product,C3830382,,
C225074,DSQ1 Questionnaire Question,DSQ1TC,15,True,,A question associated with the DePaul Symptom Questionnaire - Post Exertional Malaise 2018 Version - 10 Item (DSQ-PEM 2018) questionnaire.,,Intellectual Product,,,
C161633,E-TRIP Clinical Classification Question,ETRP01TC,3,True,,A question associated with the E-TRIP clinical classification.,,Intellectual Product,,CL970339,
C101874,ECOG Clinical Classification Question,ECOG1TC,1,True,,A question associated with the ECOG performance status questionnaire.,,Intellectual Product,C3640280,,
C112458,EDSS Clinical Classification Question,EDSS01TC,1,True,,A question associated with the EDSS clinical classification.,,Intellectual Product,C3830335,,
C219736,EORTC QLQ-ANL27 Questionnaire Question,EOR30TC,27,True,,A question associated with the European Organization for the Research and Treatment of Cancer Quality of Life - Anal Cancer 27 Items (EORTC QLQ-ANL27) questionnaire.,,Intellectual Product,,CL1953108,
C219737,EORTC QLQ-BIL21 Questionnaire Question,EOR24TC,21,True,,A question associated with the European Organization for the Research and Treatment of Cancer Quality of Life - Cholangiocarcinoma and Gallbladder Cancer 21 Items (EORTC QLQ-BIL21) questionnaire.,,Intellectual Product,,CL1953107,
C219738,EORTC QLQ-BM22 Questionnaire Question,EOR03TC,22,True,,A question associated with the European Organization for the Research and Treatment of Cancer Quality of Life - Bone Metastases 22 Items (EORTC QLQ-BM22) questionnaire.,,Intellectual Product,,CL1953106,
C219739,EORTC QLQ-BR42 Questionnaire Question,EOR35TC,42,True,,A question associated with the European Organization for the Research and Treatment of Cancer Quality of Life - Breast Cancer 42 Items (EORTC QLQ-BR42) questionnaire.,,Intellectual Product,,CL1953105,
C161628,EORTC QLQ-C15-PAL Version 1 Questionnaire Question,EOR02TC,15,True,,A question associated with the EORTC QLQ-C15-PAL Version 1 questionnaire.,,Intellectual Product,,CL970328,
C161629,EORTC QLQ-C30 Version 3 Questionnaire Question,EOR01TC,45,True,,A question associated with the EORTC QLQ-C30 Version 3 questionnaire.,,Intellectual Product,,CL970327,
C219740,EORTC QLQ-CLL17 Questionnaire Question,EOR29TC,17,True,,A question associated with the European Organization for the Research and Treatment of Cancer Quality of Life - Chronic lymphocytic leukemia 17 Items (EORTC QLQ-CLL17) questionnaire.,,Intellectual Product,,CL1953104,
C170531,EORTC QLQ-CR29 Version 2.1 Questionnaire Question,EOR06TC,35,True,,A question associated with the EORTC QLQ-CR29 Version 2.1 questionnaire.,,Intellectual Product,,CL1382953,
C219741,EORTC QLQ-H and N43 Phase IV Module Version Questionnaire Question,EOR36TC,43,True,,A question associated with the European Organization for the Research and Treatment of Cancer Quality of Life - Head and Neck Cancer Phase IV Module Version 43 Items ((EORTC QLQ-H and N43 Phase IV Module Version)) questionnaire.,,Intellectual Product,,CL1953088,
C219742,EORTC QLQ-INFO25 Questionnaire Question,EOR17TC,27,True,,A question associated with the European Organization for the Research and Treatment of Cancer Quality of Life - Information 25 Items (EORTC QLQ-INFO25) questionnaire.,,Intellectual Product,,CL1953087,
C172401,EORTC QLQ-LC13 Questionnaire Question,EOR18TC,15,True,,A question associated with the EORTC QLQ-LC13 questionnaire.,,Intellectual Product,,CL1406354,
C219743,EORTC QLQ-LMC21 Questionnaire Question,EOR12TC,21,True,,A question associated with the European Organization for the Research and Treatment of Cancer Quality of Life - Colorectal Liver Metastases 21 Items (EOC21) questionnaire.,,Intellectual Product,,CL1953086,
C219744,EORTC QLQ-MY20 Questionnaire Question,EOR19TC,20,True,,A question associated with the European Organization for the Research and Treatment of Cancer Quality of Life - Multiple Myeloma 20 Items (EORTC QLQ-MY20) questionnaire.,,Intellectual Product,,CL1953085,
C219745,EORTC QLQ-NMIBC24 Questionnaire Question,EOR28TC,24,True,,A question associated with the European Organization for the Research and Treatment of Cancer Quality of Life - Non-Muscle-Invasive Bladder Cancer 24 Items (EORTC QLQ-NMIBC24) questionnaire.,,Intellectual Product,,CL1953084,
C219746,EORTC QLQ-OES18 Questionnaire Question,EOR20TC,18,True,,A question associated with the European Organization for the Research and Treatment of Cancer Quality of Life - Esophageal Cancer 18 Items (EORTC QLQ-EOS18) questionnaire.,,Intellectual Product,,CL1953083,
C219747,EORTC QLQ-OG25 Questionnaire Question,EOR21TC,25,True,,A question associated with the European Organization for the Research and Treatment of Cancer Quality of Life - Esophago-Gastric Cancer Phase IV Module Version 25 Items (EORTC QLQ-OG25) questionnaire.,,Intellectual Product,,CL1953082,
C132528,EPDS Questionnaire Question,EPDS01TC,10,True,,A question associated with the EPDS questionnaire.,,Intellectual Product,,CL521178,
C127361,EPIC-26 Questionnaire Question,EPIC1TC,26,True,,A question associated with the EPIC-26 questionnaire.,,Intellectual Product,,CL508708,
C127362,EPIC-CP Questionnaire Question,EPIC2TC,22,True,,A question associated with the EPIC-CP questionnaire.,,Intellectual Product,,CL508731,
C100114,EQ-5D-3L Questionnaire Question,EQ5D01TC,6,True,,A question associated with the EQ-5D-3L questionnaire.,,Intellectual Product,C3639104,,
C101875,EQ-5D-5L Questionnaire Question,EQ5D02TC,6,True,,A question associated with the EQ-5D-5L questionnaire.,,Intellectual Product,C3640281,,
C150795,ERT Functional Test Question,EMO1TC,68,True,,A question associated with the ERT functional test.,,Intellectual Product,,CL552654,
C117994,ESRS-A Clinical Classification Question,ESRSA1TC,28,True,,A question associated with the ESRS-A Clinical Classification.,,Intellectual Product,C3899283,,
C103492,ESS Questionnaire Question,ESS01TC,9,True,,A question associated with the ESS questionnaire.,,Intellectual Product,C3641307,,
C123656,EXACT Questionnaire Question,EXACT1TC,22,True,,A question associated with the EXACT questionnaire.,,Intellectual Product,C4055088,,
C125752,Expanded DRS-PI Caregiver Version Questionnaire Question,ED1TC,30,True,,A question associated with the Expanded DRS-PI Caregiver Version questionnaire.,,Intellectual Product,,CL504407,
C125753,Expanded DRS-PI Survivor Version Questionnaire Question,ED2TC,26,True,,A question associated with the Expanded DRS-PI Survivor Version questionnaire.,,Intellectual Product,,CL504408,
C179956,FAACT Version 4 Questionnaire Question,FAC065TC,47,True,,A question associated with the FAACT Version 4 questionnaire.,,Intellectual Product,,CL1662618,
C147553,FACIT-Dyspnea 10 Item Short Form Questionnaire Question,FAC084TC,30,True,,A question associated with the FACIT-Dyspnea 10 Item Short Form questionnaire.,,Intellectual Product,,CL545403,
C154460,FACIT-Dyspnea Scale 33 Item Bank Version Questionnaire Question,FAC100TC,99,True,,A question associated with the FACIT-Dyspnea Scale 33 Item Bank Version questionnaire.,,Intellectual Product,,CL555385,
C129099,FACIT-F Version 4 Questionnaire Question,FAC071TC,48,True,,A question associated with the FACIT-F Version 4 questionnaire.,,Intellectual Product,,CL512441,
C147554,FACIT-Fatigue 13-Item Version 4 Questionnaire Question,FAC070TC,14,True,,A question associated with the FACIT-Fatigue 13-Item Version 4 questionnaire.,,Intellectual Product,,CL545404,
C183554,FACIT-Searchable Item Library Adult Version Questionnaire Question,FSILTC,674,True,,A question associated with the FACIT-Searchable Item Library Adult Version questionnaire.,,Intellectual Product,,CL1771914,
C129102,FACT-B Version 4 Questionnaire Question,FAC005TC,45,True,,A question associated with the FACT-B Version 4 questionnaire.,,Intellectual Product,,CL512479,
C154461,FACT-BL Version 4 Questionnaire Question,FAC006TC,48,True,,A question associated with the FACT-BL Version 4 questionnaire.,,Intellectual Product,,CL555386,
C147552,FACT-BMT Version 4 Questionnaire Question,FAC061TC,50,True,,A question associated with the FACT-BMT Version 4 questionnaire.,,Intellectual Product,,CL545402,
C179957,FACT-BP Version 4 Questionnaire Question,FAC074TC,21,True,,A question associated with the FACT-BP Version 4 questionnaire.,,Intellectual Product,,CL1662621,
C150799,FACT-BRM Version 4 Questionnaire Question,FAC062TC,40,True,,A question associated with the FACT-BRM Version 4 questionnaire.,,Intellectual Product,,CL552658,
C150797,FACT-C Version 4 Questionnaire Question,FAC008TC,45,True,,A question associated with the FACT-C Version 4 questionnaire.,,Intellectual Product,,CL552656,
C166191,FACT-COG Version 3 Questionnaire Question,FAC075TC,41,True,,A question associated with the FACT-COG Version 3 questionnaire.,,Intellectual Product,,CL971453,
C127363,FACT-G Version 4 Questionnaire Question,FAC001TC,32,True,,A question associated with the FACT-G Version 4 questionnaire.,,Intellectual Product,,CL508788,
C130290,FACT-HEP Version 4 Questionnaire Question,FAC015TC,53,True,,A question associated with the FACT-HEP Version 4 questionnaire.,,Intellectual Product,,CL514050,
C225079,FACT-ICM Version 4 Questionnaire Question,FACT104TC,52,True,,A question associated with the Functional Assessment of Cancer Therapy-Immune Checkpoint Modulator Version 4 - 52 Item (FACT-ICM V4) questionnaire.,,Intellectual Product,,,
C150801,FACT-L Version 4 Questionnaire Question,FAC016TC,37,True,,A question associated with the FACT-L Version 4 questionnaire.,,Intellectual Product,,CL552660,
C130289,FACT-LEU Version 4 Questionnaire Question,FAC017TC,44,True,,A question associated with the FACT-LEU Version 4 questionnaire.,,Intellectual Product,,CL514051,
C130291,FACT-LYM Version 4 Questionnaire Question,FAC018TC,42,True,,A question associated with the FACT-LYM Version 4 questionnaire.,,Intellectual Product,,CL514052,
C127365,FACT-P Version 4 Questionnaire Question,FAC023TC,39,True,,A question associated with the FACT-P Version 4 questionnaire.,,Intellectual Product,,CL508828,
C150798,FACT-Taxane Version 4 Questionnaire Question,FAC063TC,43,True,,A question associated with the FACT-Taxane Version 4 questionnaire.,,Intellectual Product,,CL552657,
C150800,FACT/GOG-NTX Version 4 Questionnaire Question,FAC057TC,38,True,,A question associated with the FACT/GOG-NTX Version 4 questionnaire.,,Intellectual Product,,CL552659,
C112459,FAMS Questionnaire Question,FAMS01TC,58,True,,A question associated with the FAMS questionnaire.,,Intellectual Product,C3827390,,
C111355,FAQ Questionnaire Question,FAQ01TC,11,True,,A question associated with the FAQ questionnaire.,,Intellectual Product,C3830186,,
C111356,FAQ-NACC UDS Version 2.0 Clinical Classification Question,FAQNA1TC,10,True,,A question associated with the FAQ-NACC UDS Version 2.0 clinical classification.,,Intellectual Product,C3830194,,
C170530,FAS-NACC UDS Version 3.0 Clinical Classification Question,FASNA1TC,10,True,,A question associated with the FAS-NACC UDS Version 3.0 clinical classification.,,Intellectual Product,,CL1382952,
C138266,FBRSI Questionnaire Question,FAC029TC,15,True,,A question associated with the FBRSI questionnaire.,,Intellectual Product,,CL525761,
C124693,FHS CVD 10-Year Risk Score Clinical Classification Question,FCVD1TC,1,True,,A question associated with the FHS CVD 10-Year Risk Score clinical classification.,,Intellectual Product,C4086296,,
C103493,FIQR Questionnaire Question,FIQR01TC,25,True,,A question associated with the FIQR questionnaire.,,Intellectual Product,C3641308,,
C138267,FKSI-15 Questionnaire Question,FAC039TC,15,True,,A question associated with the FKSI-15 questionnaire.,,Intellectual Product,,CL525760,
C150802,FKSI-DRS Version 4 Questionnaire Question,FAC041TC,9,True,,A question associated with the FKSI-DRS Version 4 questionnaire.,,Intellectual Product,,CL552661,
C138268,FLSI Questionnaire Question,FAC043TC,6,True,,A question associated with the FLSI questionnaire.,,Intellectual Product,,CL525767,
