ncit_code,preferred_term,codelist_testcd,question_count,mapped_structurally,synonyms,definition,display_name,semantic_type,UMLS_CUI,NCIm_CUI,codelist_membership
C147556,TSCC Questionnaire Question,TSCC01TC,54,True,,A question associated with the TSCC questionnaire.,,Intellectual Product,,CL545406,
C147557,TSCYC Questionnaire Question,TSCYC1TC,90,True,,A question associated with the TSCYC questionnaire.,,Intellectual Product,,CL545407,
C132530,TSQM Version 1.4 Questionnaire Question,TSQM01TC,14,True,,A question associated with the TSQM Version 1.4 questionnaire.,,Intellectual Product,,CL521014,
C115415,TUG Functional Test Question,TUG01TC,1,True,,A question associated with the TUG functional test.,,Intellectual Product,C3897374,,
C124689,Tanner Scale-Boy Clinical Classification Question,TANN02TC,2,True,,A question associated with the Tanner Scale-Boy clinical classification.,,Intellectual Product,C4086892,,
C124690,Tanner Scale-Girl Clinical Classification Question,TANN01TC,2,True,,A question associated with the Tanner Scale-Girl clinical classification.,,Intellectual Product,C4087091,,
C190950,The Patient Health Questionnaire - 8 Item Questionnaire Question,PHQ05TC,9,True,,A question associated with the the Patient Health Questionnaire - 8 Item.,,Intellectual Product,,CL1799553,
C154459,UHDRS 1999 Version Clinical Classification Question,UHDR1TC,112,True,,A question associated with the UHDRS 1999 Version clinical classification.,,Intellectual Product,,CL555388,
C100126,UPDRS Clinical Classification Question,UPD1TC,76,True,,A question associated with the UPDRS clinical classification.,,Intellectual Product,C3639115,,
C103505,UPS Questionnaire Question,UPS01TC,1,True,,A question associated with the UPS questionnaire.,,Intellectual Product,C3642469,,
C141674,VALG Clinical Classification Question,VALG01TC,1,True,,A question associated with the VALG clinical classification.,,Intellectual Product,,CL539768,
C112465,VFQ25-Interviewer Administered Format Questionnaire Question,VFQ1TC,42,True,,A question associated with the VFQ25-Interviewer Administered Format questionnaire.,,Intellectual Product,C3827609,,
C112466,VFQ25-Self Administered Format Questionnaire Question,VFQ2TC,42,True,,A question associated with the VFQ25-Self Administered Format questionnaire.,,Intellectual Product,C3827567,,
C130283,VLERS Clinical Classification Question,VLERS1TC,1,True,,A question associated with the VLERS clinical classification.,,Intellectual Product,,CL514184,
C190951,Voice Handicap Index Questionnaire Question,VHI01TC,34,True,,A question associated with the the Voice Handicap Index questionnaire.,,Intellectual Product,,CL1799554,
C124699,WHO Clinical Staging of HIV/AIDS for Adults and Adolescents Clinical Classification Question,WHIVS1TC,1,True,,A question associated with the WHO Clinical Staging of HIV/AIDS for Adults and Adolescents clinical classification.,,Intellectual Product,C4086957,,
C124700,WHO Clinical Staging of HIV/AIDS for Children Clinical Classification Question,WHIVS2TC,1,True,,A question associated with the WHO Clinical Staging of HIV/AIDS for Children clinical classification.,,Intellectual Product,C4086958,,
C130303,WHODAS 2.0 12 24-item Version Interviewer-administered Questionnaire Question,WD4TC,49,True,,A question associated with the WHODAS 2.0 12+24-item Version Interviewer-administered questionnaire.,,Intellectual Product,,CL514186,
C130300,WHODAS 2.0 12-item Version Interviewer-administered Questionnaire Question,WD1TC,21,True,,A question associated with the WHODAS 2.0 12-item Version Interviewer-administered questionnaire.,,Intellectual Product,,CL514187,
C130301,WHODAS 2.0 12-item Version Proxy-administered Questionnaire Question,WD2TC,16,True,,A question associated with the WHODAS 2.0 12-item Version Proxy-administered questionnaire.,,Intellectual Product,,CL514188,
C130302,WHODAS 2.0 12-item Version Self-administered Questionnaire Question,WD3TC,15,True,,A question associated with the WHODAS 2.0 12-item Version Self-administered questionnaire.,,Intellectual Product,,CL514189,
C130297,WHODAS 2.0 36-item Version Interviewer-administered Questionnaire Question,WD5TC,49,True,,A question associated with the WHODAS 2.0 36-item Version Interviewer-administered questionnaire.,,Intellectual Product,,CL514190,
C130298,WHODAS 2.0 36-item Version Proxy-administered Questionnaire Question,WD6TC,40,True,,A question associated with the WHODAS 2.0 36-item Version Proxy-administered questionnaire.,,Intellectual Product,,CL514191,
C130299,WHODAS 2.0 36-item Version Self-administered Questionnaire Question,WD7TC,39,True,,A question associated with the WHODAS 2.0 36-item Version Self-administered questionnaire.,,Intellectual Product,,CL514192,
C166192,WPAI-GH Version 2 Questionnaire Question,WPAI02TC,10,True,,A question associated with the WPAI-GH Version 2 questionnaire.,,Intellectual Product,,CL971452,
C100172,WPAI:SHP v2.0 Questionnaire Question,WPAI01TC,10,True,,A question associated with version 2.0 of the WPAI:SHP questionnaire.,,Intellectual Product,C3639159,,
C124695,West Haven Criteria Clinical Classification Question,,0,False,,A question associated with the West Haven Criteria clinical classification.,,Intellectual Product,C4086962,,
C101882,YMRS Questionnaire Question,,11,False,,A question associated with the YMRS questionnaire.,,Intellectual Product,C3640287,,
