COSMoS_BC_ID,NCIt_Code,BC_Name,BC_Definition,BC_Synonyms,BC_Type,BC_Scope,TESTCD,TEST,TESTCD_NCIt,Categories,Hierarchy_Path,Parent_Label,Row_Type,Domains_with_DS,DS_Code,DS_Name,Domain,Domain_Class,Result_Scale,Specimen,Specimen_NCIt,Method,Method_NCIt,LOINC_Code_Count,LOINC_Code,Allowed_Units,Standard_Unit,COSMoS_Category,COSMoS_Subcategory,Decimal_Places,location,laterality,evaluator
C172610,C172610,Diastolic Blood Pressure-for-Age Percentile,"A measurement of an individual's diastolic blood pressure in relationship to age, in comparison to a reference percentile curve.",DBPAPCTL;Diastolic BP-for-Age Percentile,full,Subject,DBPAPCTL,Diastolic BP-for-Age Percentile,C172610,Blood Pressure; Vital Signs,,,DSS,VS,DBPAPCTL,Diastolic BP-for-Age Percentile,VS,Findings,Quantitative,,,,,0.0,,,,,,2.0,,,
C172609,C172609,Diastolic Blood Pressure-for-Height Percentile,"A measurement of an individual's diastolic blood pressure in relationship to height, in comparison to a reference percentile curve.",DBPHPCTL;Diastolic BP-for-Height Percentile,full,Subject,DBPHPCTL,Diastolic BP-for-Height Percentile,C172609,Blood Pressure; Vital Signs,,,DSS,VS,DBPHPCTL,Diastolic BP-for-Height Percentile,VS,Findings,Quantitative,,,,,0.0,,,,,,2.0,,,
C120830,C120830,Diffusion Capacity of the Lung for Carbon Monoxide/Alveolar Volume Ratio,The calculated ratio of the lung's alveolar volume with respect to its diffusion capacity for carbon monoxide.,DLCO/VA;DLCOVA,full,Subject,DLCOVA,DLCO/VA,C120830,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,DLCOVA_RE,DLCO/VA (RE),RE,Findings,Quantitative,,,,,0.0,,%; RATIO,,,,3.0,,,
C189632,C189632,Dominant Lung Pattern Assessment,"A subjective assessment of the primary lung abnormality pattern, generally based on size, distribution, and/or amount.",Dominant Lung Pattern;DOMLGPT,full,Subject,DOMLGPT,Dominant Lung Pattern,C189632,Respiratory System Findings,Histopathologic Examination,Histopathologic Examination,DSS,RE,DOMLGPT_RE,Dominant Lung Pattern (RE),RE,Findings,Qualitative,,,,,0.0,,,,,,2.0,,,
C189633,C189633,Dominant Lung Pattern Distribution Assessment,A subjective assessment of the distribution of the primary lung abnormality pattern.,Dominant Lung Pattern Distribution;DOMLGPTD,full,Subject,DOMLGPTD,Dominant Lung Pattern Distribution,C189633,Respiratory System Findings,Histopathologic Examination,Histopathologic Examination,DSS,RE,DOMLGPTD_RE,Dominant Lung Pattern Distribution (RE),RE,Findings,Qualitative,,,,,0.0,,,,,,2.0,,,
C161422,C161422,Effusion Indicator,An indication as to whether effusion is present.,EFFIND,full,Subject,EFFIND,Effusion Indicator,C161422,Respiratory System Findings,Symptom Indicator,Symptom Indicator,DSS,RE,EFFIND_RE,Effusion Indicator (RE),RE,Findings,Qualitative,,,,,0.0,,,,,,2.0,,,
C161424,C161424,Effusion Volume Measurement,The amount of three dimensional space occupied by the effusion fluid.,Effusion Volume;EFFVOL,full,Subject,EFFVOL,Effusion Volume,C161424,Respiratory System Findings,Volume Measurement,Volume Measurement,DSS,RE,EFFVOL_RE,Effusion Volume (RE),RE,Findings,Quantitative,,,,,0.0,,mL,mL,,,3.0,,,
C135493,C135493,Elastance,"A measure of the resistance of a system to expand, i.e. the pressure change that is required to elicit a unit volume change in the lungs; elastance is the reciprocal of compliance.",ELSTNCE,full,Subject,ELSTNCE,Elastance,C135493,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,ELSTNCE_RE,Elastance (RE),RE,Findings,Quantitative,,,,,0.0,,mL/cm H2O,mL/cm H2O,,,3.0,,,
C147491,C147491,Energy Expenditure,A measurement of the amount of energy used to carry out a physiological or physical function.,ENRGEXP,full,Subject,ENRGEXP,Energy Expenditure,C147491,Energy Expenditure; Vital Signs,Personal Attribute,Personal Attribute,DSS,VS,ENRGEXP,Energy Expenditure,VS,Findings,Quantitative,,,,,0.0,,MET,,,,3.0,,,
C132482,C132482,Estimated Body Weight,An approximate determination of the weight of a body.,Estimated Weight;EWEIGHT,full,Subject,EWEIGHT,Estimated Weight,C132482,Body Measurements; Vital Signs,Weight > Body Weight,Body Weight,DSS,VS,EWEIGHT,Estimated Weight,VS,Findings,Quantitative,,,,,0.0,,g; kg; LB,,,,3.0,,,
