COSMoS_BC_ID,NCIt_Code,BC_Name,BC_Definition,BC_Synonyms,BC_Type,BC_Scope,TESTCD,TEST,TESTCD_NCIt,Categories,Hierarchy_Path,Parent_Label,Row_Type,Domains_with_DS,DS_Code,DS_Name,Domain,Domain_Class,Result_Scale,Specimen,Specimen_NCIt,Method,Method_NCIt,LOINC_Code_Count,LOINC_Code,Allowed_Units,Standard_Unit,COSMoS_Category,COSMoS_Subcategory,Decimal_Places,location,laterality,evaluator
C112333,C112333,Maximum Forced Inspiratory Flow,Forced inspiratory flow for a portion of the FVC curve at the point where the maximum portion of FVC is already inhaled. (CDISC),FIFMAX;FIFmax,full,Subject,FIFMAX,Maximum Forced Inspiratory Flow,C112333,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,FIFMAX_RE,Maximum Forced Inspiratory Flow (RE),RE,Findings,Quantitative,,,,,0.0,,L/s; L/min,,,,3.0,,,
C147492,C147492,Maximum Predicted Heart Rate,"The predicted upper limit for an individual's heart rate, which is calculated as 220 minus the subject's age for men, and 210 minus the subject's age for women.",MAXPREHR,full,Subject,MAXPREHR,Maximum Predicted Heart Rate,C147492,Vital Signs,Vital Signs Measurement > Heart Rate,Heart Rate,DSS,VS,MAXPREHR,Maximum Predicted Heart Rate,VS,Findings,Quantitative,,,,,0.0,,beats/min,,,,3.0,,,
C49679,C49679,Mean Arterial Pressure,"The mean pressure of the blood within the arterial circulation. The arterial pressure may be directly measured by insertion of an intra-arterial catheter connected to a transducer. The mean arterial pressure (MAP) can be calculated by subsequent analysis of the waveform. MAP can be approximated without an invasive procedure using the following formula: diastolic pressure plus 1/3 of the pulse pressure, where pulse pressure is systolic pressure - diastolic pressure.",MAP,full,Subject,MAP,Mean Arterial Pressure,C49679,Blood Pressure; Vital Signs,Vital Signs Measurement > Blood Pressure,Blood Pressure,DSS,VS,MAP,Mean Arterial Pressure,VS,Findings,Quantitative,,,,,0.0,,mmHg,,,,3.0,,,
C123564,C123564,Mean Carbon Monoxide Diffusing Capability Test,The mean volume of the carbon monoxide that is transferred from inspired gas into the pulmonary capillary blood.,DLCOM;Mean Diffusion Capacity of Lung for CO;Mean TLCO,full,Subject,DLCOM,Mean Diffusion Capacity of Lung for CO,C123564,Respiratory System Findings,Pulmonary Function Test > Carbon Monoxide Diffusing Capability Test,Carbon Monoxide Diffusing Capability Test,DSS,RE,DLCOM_RE,Mean Diffusion Capacity of Lung for CO (RE),RE,Findings,Quantitative,,,,,0.0,,L; mL,,,,3.0,,,
C124475,C124475,Mid-Upper Arm Circumference,A circumferential measurement of the largest part of the upper arm.,MUARMCIR,full,Subject,MUARMCIR,Mid-Upper Arm Circumference,C124475,Body Measurements; Vital Signs,Anatomical Circumference,Anatomical Circumference,DSS,VS,MUARMCIR,Mid-Upper Arm Circumference,VS,Findings,Quantitative,,,,,0.0,,cm; in; mm,,,,3.0,,,
C120936,C120936,Minute Volume,The volume of gas inhaled or exhaled from the lungs during sixty seconds.,Minute Ventilation;MV;VE,full,Subject,MV,Minute Volume,C120936,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,MV_RE,Minute Volume (RE),RE,Findings,Quantitative,,,,,0.0,,L/min,L/min,,,3.0,,,
C154891,C154891,Neck Circumference,"A circumferential measurement of the neck, just below the larynx.",NECKCIR,full,Subject,NECKCIR,Neck Circumference,C154891,Body Measurements; Vital Signs,Anatomical Circumference,Anatomical Circumference,DSS,VS,NECKCIR,Neck Circumference,VS,Findings,Quantitative,,,,,0.0,,cm; in; mm,,,,3.0,,,
C171083,C171083,Organism Characteristic,A characteristic or attribute inherent or inherited to an organism.,,hierarchy_only,Subject,,,,Characteristic,Characteristic,Characteristic,BC_only_hierarchy,,,,,,,,,,,,,,,,,,,,
C123570,C123570,Oxygen Consumption,The rate at which oxygen is absorbed and utilized by any given tissue in the body.,VO2,full,Subject,VO2,Oxygen Consumption,C123570,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,VO2_RE,Oxygen Consumption (RE),RE,Findings,Quantitative,,,,,0.0,,L/min,L/min,,,3.0,,,
C123566,C123566,Oxygen Pulse,The volume of oxygen consumed by the body per heartbeat while at rest.,OXYPULSE,full,Subject,OXYPULSE,Oxygen Pulse,C123566,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,OXYPULSE_RE,Oxygen Pulse (RE),RE,Findings,Quantitative,,,,,0.0,,mL/beat,mL/beat,,,3.0,,,
C60832,C60832,Oxygen Saturation Measurement,The measurement of the ratio of oxygenated hemoglobin to total hemoglobin in the blood.,Blood Oxygen Saturation;Hemoglobin Saturation Measurement;Hemoglobin Saturation;O2 Saturation;Oximetry;Oxygen Content Measurement;Oxygen Saturation;OXYSAT;SpO2;Vital Signs - Oxygen Saturation,full,Subject,OXYSAT,Oxygen Saturation,C60832,Oximetry Tests; Oxygen Saturation Measurements; Respiratory System Findings; Vital Signs,Body Organ or System Test,Body Organ or System Test,DSS,RE; VS,OXYSAT_RE,Oxygen Saturation (RE),RE,Findings,Quantitative,,,,,0.0,,%,%,,,6.0,,,
C174311,C174311,Oxygen Saturation/Fraction Inspired O2,A relative measurement (ratio or percentage) of the oxygen-hemoglobin saturation of a volume of blood to the volumetric fraction of oxygen in the inhaled gas.,SAO2FIO2,full,Subject,SAO2FIO2,Oxygen Saturation/Fraction Inspired O2,C174311,Oxygen Saturation Measurements; Pulmonary Function Test; Respiratory System Findings; Vital Signs,Pulmonary Function Test,Pulmonary Function Test,DSS,RE; VS,SAO2FIO2,Oxygen Saturation/Fraction Inspired O2,VS,Findings,Quantitative,,,,,0.0,,%; RATIO,,,,3.0,,,
C174311,C174311,Oxygen Saturation/Fraction Inspired O2,A relative measurement (ratio or percentage) of the oxygen-hemoglobin saturation of a volume of blood to the volumetric fraction of oxygen in the inhaled gas.,SAO2FIO2,full,Subject,SAO2FIO2,Oxygen Saturation/Fraction Inspired O2,C174311,Oxygen Saturation Measurements; Pulmonary Function Test; Respiratory System Findings; Vital Signs,Pulmonary Function Test,Pulmonary Function Test,DSS,RE; VS,SAO2FIO2_RE,Oxygen Saturation/Fraction Inspired O2 (RE),RE,Findings,Quantitative,,,,,0.0,,RATIO; %,,,,3.0,,,
C189635,C189635,Oxygenation Index,"A measurement of the efficiency of oxygen exchange by the lungs, which is calculated by multiplying the fraction of inspired oxygen (FiO2) (in %) to mean airway pressure (Mpaw) and dividing by pressure of arterial oxygen (PaO2).",OI,full,Subject,OI,Oxygenation Index,C189635,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,OI_RE,Oxygenation Index (RE),RE,Findings,Quantitative,,,,,0.0,,,,,,2.0,,,
C119293,C119293,Partial Pressure Arterial Oxygen to Fraction Inspired Oxygen Ratio Measurement,The determination of the ratio of the pressure of oxygen dissolved in arterial blood to the percentage oxygen of an inhaled mixture of gasses in a biological specimen.,Horowitz Index;Carrico index;P/F ratio;Partial Pressure Arterial Oxygen to Fraction Inspired Oxygen Ratio Measurement;PO2FIO2;PAO2/FIO2;PP Arterial O2/Fraction Inspired O2,full,Subject,PO2FIO2,PP Arterial O2/Fraction Inspired O2,C119293,Blood Oxygen Levels; Laboratory Tests; Respiratory System Findings,Chemistry Test > Gas Measurement,Gas Measurement,DSS,LB; RE,PO2FIO2_RE,PP Arterial O2/Fraction Inspired O2 (RE),RE,Findings,Quantitative,,,,,0.0,,mmHg,mmHg,,,4.0,,,
C135498,C135498,Peak Cough Flow,"The maximum rate of air flow expelled through the mouth, endotracheal, or tracheostomy tube during a cough.",PCF;Cough Peak Flow;CPF,full,Subject,PCF,Peak Cough Flow,C135498,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,PCF_RE,Peak Cough Flow (RE),RE,Findings,Quantitative,,,,,0.0,,L/s; L/min,,,,3.0,,,
C41372,C41372,Peak Expiratory Flow,"The maximum rate of gas flow, beginning at the point of peak inspiratory capacity, that can be sustained during forced exhalation for a defined period of time. This test is most often used in combination with other studies of lung function to diagnose and monitor obstructive and restrictive lung disease(s).",PEF,full,Subject,PEF,Peak Expiratory Flow,C41372,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,PEF_RE,Peak Expiratory Flow (RE),RE,Findings,Quantitative,,,,,0.0,,L/s; L/min,,,,3.0,,,
C112368,C112368,Peak Expiratory Flow Reversibility,The change in PEF following administration of a bronchodilator relative to the pre-treatment PEF value. (CDISC),PEF Reversibility;PEFREV,full,Subject,PEFREV,PEF Reversibility,C112368,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,PEFREV_RE,PEF Reversibility (RE),RE,Findings,Quantitative,,,,,0.0,,,,,,2.0,,,
C139259,C139259,Peak Expiratory Flow Time,The time from the start of the test until the subject reaches his maximum expiratory gas flow rate.,PEFTIME;PEF Time,full,Subject,PEFTIME,Peak Expiratory Flow Time,C139259,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,PEFTIME_RE,Peak Expiratory Flow Time (RE),RE,Findings,Quantitative,,,,,0.0,,ms,ms,,,3.0,,,
C120939,C120939,Peak Inspiratory Flow Rate,The fastest flow rate of gas noted during the inspiratory cycle.,Peak Inspiratory Flow;PIF;PKINSFL,full,Subject,PIF,Peak Inspiratory Flow,C120939,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,PIF_RE,Peak Inspiratory Flow (RE),RE,Findings,Quantitative,,,,,0.0,,L/s; L/min,,,,3.0,,,
C119547,C119547,Peak Nasal Inspiratory Flow,The maximal flow achieved during the maximally forced inspiration through the nose initiated at maximum exhalation.,PNIF,full,Subject,PNIF,Peak Nasal Inspiratory Flow,C119547,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,PNIF_RE,Peak Nasal Inspiratory Flow (RE),RE,Findings,Quantitative,,,,,0.0,,L/s; L/min,,,,3.0,,,
C170623,C170623,Percent Predicted Airway Resistance,"A measurement of respiratory tract resistance to airflow during inspiration and expiration, as a proportion of the predicted normal value.",RAWPP,full,Subject,RAWPP,Percent Predicted Airway Resistance,C170623,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,RAWPP_RE,Percent Predicted Airway Resistance (RE),RE,Findings,Quantitative,,,,,0.0,,%,%,,,3.0,,,
C170621,C170621,Percent Predicted Airway Volume,"The total volume of gas in a specified airway or set of airways at a specified point in time in the respiratory cycle, expressed as a proportion of the predicted normal value.",AWVOLPP,full,Subject,AWVOLPP,Percent Predicted Airway Volume,C170621,Respiratory System Findings,Volume > Airway Volume,Airway Volume,DSS,RE,AWVOLPP_RE,Percent Predicted Airway Volume (RE),RE,Findings,Quantitative,,,,,0.0,,%,%,,,3.0,,,
C120829,C120829,Percent Predicted Diffusion Capacity of the Lung for Carbon Monoxide,"The degree to which inhaled carbon monoxide diffuses from the alveoli into the blood, expressed as a proportion of the predicted normal value.",DLCOPP;Percent Predicted DLCO,full,Subject,DLCOPP,Percent Predicted DLCO,C120829,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,DLCOPP_RE,Percent Predicted DLCO (RE),RE,Findings,Quantitative,,,,,0.0,,%,%,,,3.0,,,
C120831,C120831,Percent Predicted Diffusion Capacity of the Lung for Carbon Monoxide/Alveolar Volume Ratio,"The calculated ratio of the lung's alveolar volume with respect to its diffusion capacity for carbon monoxide, expressed as a proportion of the predicted normal value.",DLCOVAPP;Percent Predicted DLCO/VA,full,Subject,DLCOVAPP,Percent Predicted DLCO/VA,C120831,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,DLCOVAPP_RE,Percent Predicted DLCO/VA (RE),RE,Findings,Quantitative,,,,,0.0,,%; RATIO,,,,3.0,,,
C112375,C112375,Percent Predicted Expiratory Reserve Volume,The maximum volume of air a subject can exhale from the lungs after a tidal exhalation as a proportion of the predicted normal value. (CDISC),ERVPP;Percent Predicted ERV,full,Subject,ERVPP,Percent Predicted ERV,C112375,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,ERVPP_RE,Percent Predicted ERV (RE),RE,Findings,Quantitative,,,,,0.0,,%,%,,,3.0,,,
C199984,C199984,Percent Predicted Expiratory Vital Capacity,The maximum volume of air an individual can exhale from the point of maximal inhalation as a percentage of the predicted normal value.,EVCPP;Percent Predicted EVC,full,Subject,EVCPP,Percent Predicted EVC,C199984,Respiratory System Findings,Pulmonary Function Test > Expiratory Vital Capacity,Expiratory Vital Capacity,DSS,RE,EVCPP_RE,Percent Predicted EVC (RE),RE,Findings,Quantitative,,,,,0.0,,%,%,,,3.0,,,
C119546,C119546,Percent Predicted Forced Expiratory Flow at 25-75 Percent,The mean forced expiratory flow rate at 25-75% of the forced vital capacity as a proportion of the predicted normal value.,FEF2575P;Percent Predicted FEF25-75;FEF at 25-75%,full,Subject,FEF2575P,Percent Predicted FEF25-75,C119546,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,FEF2575P_RE,Percent Predicted FEF25-75 (RE),RE,Findings,Quantitative,,,,,0.0,,%,%,,,3.0,,,
C112376,C112376,Percent Predicted Forced Expiratory Volume in 1 Second,Forced expiratory volume in one second as a proportion of the predicted normal value. (CDISC),FEV1PP;Percent Predicted FEV1,full,Subject,FEV1PP,Percent Predicted FEV1,C112376,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,FEV1PP_RE,Percent Predicted FEV1 (RE),RE,Findings,Quantitative,,,,,0.0,,%,%,,,3.0,,,
C112377,C112377,Percent Predicted Forced Expiratory Volume in 1 Second Divided by Forced Vital Capacity,The proportion of total forced vital capacity that is expelled during the first second of a forced exhalation as a proportion of the predicted normal value. (CDISC),FEV1FVCP;Percent Predicted FEV1/FVC,full,Subject,FEV1FVCP,Percent Predicted FEV1/FVC,C112377,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,FEV1FVCP_RE,Percent Predicted FEV1/FVC (RE),RE,Findings,Quantitative,,,,,0.0,,%,%,,,3.0,,,
C170627,C170627,Percent Predicted Forced Expiratory Volume in 3 Seconds,Forced expiratory volume in three seconds as a proportion of the predicted normal value.,FEV3PP;Percent Predicted FEV3,full,Subject,FEV3PP,Percent Predicted FEV3,C170627,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,FEV3PP_RE,Percent Predicted FEV3 (RE),RE,Findings,Quantitative,,,,,0.0,,%,%,,,3.0,,,
C112378,C112378,Percent Predicted Forced Expiratory Volume in 6 Seconds,Forced expiratory volume in six seconds as a proportion of the predicted normal value. (CDISC),FEV6PP;Percent Predicted FEV6,full,Subject,FEV6PP,Percent Predicted FEV6,C112378,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,FEV6PP_RE,Percent Predicted FEV6 (RE),RE,Findings,Quantitative,,,,,0.0,,%,%,,,3.0,,,
C112379,C112379,Percent Predicted Forced Inspiratory Flow Maximum,Forced inspiratory flow for a portion of the FVC curve at the point where the maximum portion of FVC is already inhaled as a proportion of the predicted normal value. (CDISC),FIFMAXPP;Percent Predicted FIFmax,full,Subject,FIFMAXPP,Percent Predicted FIFmax,C112379,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,FIFMAXPP_RE,Percent Predicted FIFmax (RE),RE,Findings,Quantitative,,,,,0.0,,%,%,,,3.0,,,
C112380,C112380,Percent Predicted Forced Inspiratory Volume in 1 Second,The volume of air that a subject can breathe in during the first second of inhalation after maximum exhalation as a proportion of the predicted normal value. (CDISC),FIV1PP;Percent Predicted FIV1,full,Subject,FIV1PP,Percent Predicted FIV1,C112380,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,FIV1PP_RE,Percent Predicted FIV1 (RE),RE,Findings,Quantitative,,,,,0.0,,%,%,,,3.0,,,
C112381,C112381,Percent Predicted Forced Vital Capacity,Forced vital capacity as a proportion of the predicted normal value. (CDISC),FVCPP;Percent Predicted FVC,full,Subject,FVCPP,Percent Predicted Forced Vital Capacity,C112381,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,FVCPP_RE,Percent Predicted Forced Vital Capacity (RE),RE,Findings,Quantitative,,,,,0.0,,%,%,,,3.0,,,
C126052,C126052,Percent Predicted Functional Residual Capacity,The volume of air remaining in the lungs after a normal exhalation as a proportion of the predicted normal value. (CDISC),FRCPP;Percent Predicted FRC,full,Subject,FRCPP,Percent Predicted FRC,C126052,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,FRCPP_RE,Percent Predicted FRC (RE),RE,Findings,Quantitative,,,,,0.0,,%,%,,,3.0,,,
C120826,C120826,Percent Predicted Hemoglobin Corrected Diffusion Capacity of the Lung for Carbon Monoxide,"The diffusion capacity of the lungs for carbon monoxide adjusted for hemoglobin concentration, expressed as a proportion of the predicted normal value.",DLCOHCPP;Percent Predicted HGB Corrected DLCO,full,Subject,DLCOHCPP,Percent Predicted HGB Corrected DLCO,C120826,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,DLCOHCPP_RE,Percent Predicted HGB Corrected DLCO (RE),RE,Findings,Quantitative,,,,,0.0,,%,%,,,3.0,,,
C120828,C120828,Percent Predicted Hemoglobin Corrected Diffusion Capacity of the Lung for Carbon Monoxide/Alveolar Volume Ratio,"The diffusion capacity of the lungs for carbon monoxide adjusted for the ratio of hemoglobin concentration to alveolar volume, and expressed as a proportion of the predicted normal value.",DLCOHVAP;Percent Predicted HGB Corrected DLCO/VA,full,Subject,DLCOHVAP,Percent Predicted HGB Corrected DLCO/VA,C120828,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,DLCOHVAP_RE,Percent Predicted HGB Corrected DLCO/VA (RE),RE,Findings,Quantitative,,,,,0.0,,%; RATIO,,,,3.0,,,
C112382,C112382,Percent Predicted Inspiratory Capacity,The maximum volume of air a subject can inhale into the lungs after a tidal exhalation (IRV plus TV) as a proportion of the predicted normal value. (CDISC),ICPP;Percent Predicted IC,full,Subject,ICPP,Percent Predicted Inspiratory Capacity,C112382,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,ICPP_RE,Percent Predicted Inspiratory Capacity (RE),RE,Findings,Quantitative,,,,,0.0,,%,%,,,3.0,,,
C112383,C112383,Percent Predicted Inspiratory Reserve Volume,The maximum volume of air a subject can inhale into the lungs after a tidal inhalation as a proportion of the predicted normal value. (CDISC),IRVPP;Percent Predicted IRV,full,Subject,IRVPP,Percent Predicted IRV,C112383,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,IRVPP_RE,Percent Predicted IRV (RE),RE,Findings,Quantitative,,,,,0.0,,%,%,,,3.0,,,
C124424,C124424,Percent Predicted Inspiratory Vital Capacity,"The maximum volume of gas an individual can inhale from the point of maximal exhalation expressed as a percentage of the expected result value for healthy individuals of similar age, sex, height, and race.",IVCPP;Percent Predicted IVC,full,Subject,IVCPP,Percent Predicted IVC,C124424,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,IVCPP_RE,Percent Predicted IVC (RE),RE,Findings,Quantitative,,,,,0.0,,%,%,,,3.0,,,
C174361,C174361,Percent Predicted Lobar Volume,"The total volume of gas in a lobe of the lung at a specified point in time during the respiratory cycle, as a proportion of the predicted normal value.",LOBVOLPP,full,Subject,LOBVOLPP,Percent Predicted Lobar Volume,C174361,Respiratory System Findings,Pulmonary Function Test > Lobar Volume,Lobar Volume,DSS,RE,LOBVOLPP_RE,Percent Predicted Lobar Volume (RE),RE,Findings,Quantitative,,,,,0.0,,%,%,,,3.0,,,
C135495,C135495,Percent Predicted Maximal Expiratory Pressure,"The greatest amount of pressure that can be generated by exhaling against a mouthpiece, which is a measure of the strength of respiratory muscles expressed as a proportion of the predicted normal value.",MEPPP;Percent Predicted MEP,full,Subject,MEPPP,Percent Predicted MEP,C135495,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,MEPPP_RE,Percent Predicted MEP (RE),RE,Findings,Quantitative,,,,,0.0,,%,%,,,3.0,,,
C135497,C135497,Percent Predicted Maximal Inspiratory Pressure,"The greatest amount of pressure that can be generated during inhalation against a fully occluded airway, which is used to measure the strength of respiratory muscles expressed as a proportion of the predicted normal value.",MIPPP;Percent Predicted MIP,full,Subject,MIPPP,Percent Predicted MIP,C135497,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,MIPPP_RE,Percent Predicted MIP (RE),RE,Findings,Quantitative,,,,,0.0,,%,%,,,3.0,,,
C112384,C112384,Percent Predicted Peak Expiratory Flow,The maximal flow achieved during the maximally forced expiration initiated at maximum inhalation as a proportion of the predicted normal value. (CDISC),PEFPP;Percent Predicted PEF,full,Subject,PEFPP,Percent Predicted Peak Expiratory Flow,C112384,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,PEFPP_RE,Percent Predicted Peak Expiratory Flow (RE),RE,Findings,Quantitative,,,,,0.0,,%,%,,,3.0,,,
C112385,C112385,Percent Predicted Residual Volume,The volume of air remaining in the lungs after maximum exhalation as a proportion of the predicted normal value. (CDISC),RVPP,full,Subject,RVPP,Percent Predicted Residual Volume,C112385,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,RVPP_RE,Percent Predicted Residual Volume (RE),RE,Findings,Quantitative,,,,,0.0,,%,%,,,3.0,,,
C112386,C112386,Percent Predicted Slow Vital Capacity,The maximum volume of air that can be exhaled after slow maximum inhalation as a proportion of the predicted normal value. (CDISC),SVCPP;Percent Predicted SVC,full,Subject,SVCPP,Percent Predicted Slow Vital Capacity,C112386,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,SVCPP_RE,Percent Predicted Slow Vital Capacity (RE),RE,Findings,Quantitative,,,,,0.0,,%,%,,,3.0,,,
C170624,C170624,Percent Predicted Specific Airway Resistance,"A measurement used to describe airway behavior irrespective of lung volume; it is calculated as airway resistance (Raw) multiplied by functional residual capacity (FRC), as a proportion of the predicted normal value.",Percent Predicted Sp Airway Resistance;SRAWPP,full,Subject,SRAWPP,Percent Predicted Sp Airway Resistance,C170624,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,SRAWPP_RE,Percent Predicted Sp Airway Resistance (RE),RE,Findings,Quantitative,,,,,0.0,,%,%,,,3.0,,,
C170622,C170622,Percent Predicted Specific Airway Volume,"A parameter used in functional respiratory imaging, derived by dividing the airway volume of a specified intrapulmonary region by the total volume of the same specified intrapulmonary region, expressed as a proportion of the predicted normal value.",SAWVOLPP,full,Subject,SAWVOLPP,Percent Predicted Specific Airway Volume,C170622,Respiratory System Findings,Volume > Airway Volume,Airway Volume,DSS,RE,SAWVOLPP_RE,Percent Predicted Specific Airway Volume (RE),RE,Findings,Quantitative,,,,,0.0,,%,%,,,3.0,,,
C112387,C112387,Percent Predicted Tidal Volume,The volume of air moved into and out of the lungs during breathing at rest as a proportion of the predicted normal value. (CDISC),TVPP,full,Subject,TVPP,Percent Predicted Tidal Volume,C112387,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,TVPP_RE,Percent Predicted Tidal Volume (RE),RE,Findings,Quantitative,,,,,0.0,,%,%,,,3.0,,,
C112388,C112388,Percent Predicted Total Lung Capacity,The total volume of air in the lungs after maximum inhalation as a proportion of the predicted normal value. (CDISC),TLCPP,full,Subject,TLCPP,Percent Predicted Total Lung Capacity,C112388,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,TLCPP_RE,Percent Predicted Total Lung Capacity (RE),RE,Findings,Quantitative,,,,,0.0,,%,%,,,3.0,,,
C174371,C174371,Peripheral Body Temperature,A measurement of the temperature on the surfaces of the outer areas or boundaries of the body.,TEMPPB,full,Subject,TEMPPB,Peripheral Body Temperature,C174371,Temperature; Vital Signs,Physical Examination Finding > Body Temperature Measurement,Body Temperature Measurement,DSS,VS,TEMPPB,Peripheral Body Temperature,VS,Findings,Quantitative,,,,,0.0,,C; F,,,,4.0,RECTUM;AXILLA;EAR;FOREHEAD;SUBLINGUAL REGION,,
C20989,C20989,Physical Examination,"A systemic evaluation of the body and its functions using visual inspection, palpation, percussion and auscultation. The purpose is to determine the presence or absence of physical signs of disease or abnormality for an individual's health assessment.",General Examination;Physical Exam;PHYSICAL EXAM;PHYSICAL EXAMINATION;physical exam;physical_exam;Physical examination procedure (procedure);assessment;physical examination;Assessment;Physical;Physical Assessment;Physical exam,hierarchy_only,Subject,,,,Physical Examination,,,BC_only_hierarchy,,,,,,,,,,,,,,,,,,,,
C171521,C171521,Pneumonia Indicator,An indication as to whether pneumonia has occurred.,PNEUMIND,full,Subject,PNEUMIND,Pneumonia Indicator,C171521,Clinical Findings Indicators; Respiratory System Findings,Clinical Findings Indicator,Clinical Findings Indicator,DSS,RE,PNEUMIND_RE,Pneumonia Indicator (RE),RE,Findings,Qualitative,,,,,0.0,,,,,,3.0,,,
C38081,C38081,Pulmonary Function Test,A broad range of tests that are performed to assess how well lungs inhale and exhale air and how efficiently they transfer oxygen into the blood.,Pulmonary Function Test;lung function test;PFT;Pulmonary Function Testing,hierarchy_only,Subject,,,,Pulmonary Function Tests; Respiratory System Findings; Vital Signs,,,BC_only_hierarchy,,,,,,,,,,,,,,,,,,,,
C139254,C139254,Pulmonary Inertance,The measure of the force of the column of air in the conducting airways.,INERTANC;Inertance,full,Subject,INERTANC,Inertance,C139254,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,INERTANC_RE,Inertance (RE),RE,Findings,Quantitative,,,,,0.0,,,,,,2.0,,,
C123567,C123567,Pulmonary Reactance,"The measurement of the ability of the lung to store energy, which is required for passive expiration. Reactance consists of two components: the negative component reflects capacitive behavior (C) and corresponds to both the thoraco-pulmonary elasticity and to changes in the available lung volumes in the distal compartments of the lung; the positive component of reactance has inertial characteristics (I) describing the moving air column in the bronchial tree.",PLMXRS,full,Subject,PLMXRS,Pulmonary Reactance,C123567,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,PLMXRS_RE,Pulmonary Reactance (RE),RE,Findings,Quantitative,,,,,0.0,,,,,,2.0,,,
C100945,C100945,Pulse Pressure,The force of a heart contraction measured by the difference between the diastolic and systolic blood pressure measurements.,PULSEPR,full,Subject,PULSEPR,Pulse Pressure,C100945,Blood Pressure; Vital Signs,Personal Attribute,Personal Attribute,DSS,VS,PULSEPR,Pulse Pressure,VS,Findings,Quantitative,,,,,0.0,,mmHg,,,,4.0,,,
